Bandung,Makassar,DKI Jakarta,Medan,Surabaya,Pekanbaru,Batam,Palembang,Yogyakarta,Balikpapan
43300.0,26500.0,59300.0,38450.0,42200.0,60400.0,69050.0,28400.0,53050.0,71050.0
,,,,,,,,,
42950.0,37300.0,56550.0,44350.0,39250.0,34550.0,71500.0,53950.0,42050.0,60650.0
48200.0,41700.0,50650.0,44350.0,40100.0,41100.0,72050.0,57750.0,45300.0,64550.0
61550.0,52200.0,63400.0,41600.0,50450.0,51400.0,91300.0,65350.0,64050.0,64550.0
,,,,,,,,,
,,,,,,,,,
42950.0,37300.0,56550.0,44350.0,39250.0,34550.0,71500.0,53950.0,42050.0,60650.0
42950.0,37300.0,56550.0,44350.0,39250.0,34550.0,71500.0,53950.0,42050.0,60650.0
46950.0,37300.0,54550.0,44350.0,40500.0,34050.0,71050.0,54000.0,44050.0,66300.0
46950.0,37300.0,54550.0,44350.0,40500.0,33100.0,71050.0,54000.0,44050.0,66300.0
46950.0,37300.0,54550.0,44350.0,40500.0,33100.0,71050.0,54000.0,44050.0,66300.0
,,,,,,,,,
,,,,,,,,,
46950.0,37300.0,54550.0,44350.0,40500.0,33100.0,71050.0,54000.0,44050.0,66300.0
46950.0,37300.0,54550.0,44350.0,40500.0,33100.0,71050.0,54000.0,44050.0,66300.0
45950.0,40700.0,54550.0,44350.0,40850.0,35650.0,70650.0,57750.0,45300.0,66300.0
45950.0,40700.0,54550.0,44350.0,40850.0,36300.0,70650.0,57750.0,45300.0,66300.0
45950.0,40700.0,54550.0,44350.0,40850.0,36300.0,70650.0,57750.0,45300.0,66300.0
,,,,,,,,,
,,,,,,,,,
45950.0,40700.0,54550.0,44350.0,40850.0,36300.0,70650.0,57750.0,45300.0,66300.0
45950.0,40700.0,54550.0,44350.0,40850.0,36300.0,70650.0,57750.0,45300.0,66300.0
45950.0,40700.0,54550.0,44350.0,40850.0,35650.0,70650.0,57750.0,45300.0,66300.0
77900.0,45500.0,72500.0,40500.0,87000.0,78200.0,111450.0,65600.0,86350.0,77600.0
90800.0,42800.0,109550.0,45500.0,91750.0,56000.0,98950.0,77200.0,89650.0,82900.0
87350.0,55100.0,116950.0,45500.0,94150.0,85750.0,96050.0,78600.0,98800.0,82900.0
,,,,,,,,,
,,,,,,,,,
58300.0,28850.0,69550.0,33400.0,46200.0,66400.0,70950.0,58000.0,50450.0,77550.0
43300.0,26500.0,59300.0,38450.0,42200.0,60400.0,69050.0,28400.0,53050.0,71050.0
47200.0,36750.0,49050.0,43350.0,42450.0,60500.0,72300.0,26350.0,49650.0,71050.0
42950.0,37300.0,56550.0,44350.0,39250.0,34550.0,71500.0,53950.0,42050.0,60650.0
,,,,,,,,,
61550.0,52200.0,63400.0,41600.0,50450.0,51400.0,91300.0,65350.0,64050.0,64550.0
