,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-05-24,63650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-05-25,63650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-05-26,,,,,,,,,,
2018-05-27,,,,,,,,,,
2018-05-28,63650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-05-29,,,,,,,,,,
2018-05-30,67650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-05-31,67650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-06-01,67650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-06-02,,,,,,,,,,
2018-06-03,,,,,,,,,,
2018-06-04,67650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-06-05,67650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
2018-06-06,68150.0,62150.0,58300.0,83450.0,53150.0,50500.0,70650.0,65900.0,71450.0,60350.0
2018-06-07,68150.0,62150.0,58300.0,83450.0,53150.0,50500.0,70650.0,65900.0,71450.0,60350.0
2018-06-08,68150.0,62150.0,58300.0,83450.0,53150.0,50500.0,70650.0,65900.0,71450.0,60350.0
2018-06-09,,,,,,,,,,
2018-06-10,,,,,,,,,,
2018-06-11,68150.0,62150.0,58300.0,83450.0,53150.0,50500.0,70650.0,65900.0,71450.0,60350.0
2018-06-12,68150.0,62150.0,58300.0,83450.0,53150.0,50500.0,70650.0,65900.0,71450.0,60350.0
2018-06-13,68150.0,62150.0,60300.0,83450.0,54650.0,48400.0,70650.0,74900.0,71450.0,62500.0
2018-06-14,68150.0,62150.0,60300.0,83450.0,54650.0,48400.0,70650.0,74900.0,71450.0,62500.0
2018-06-15,,,,,,,,,,
2018-06-16,,,,,,,,,,
2018-06-17,,,,,,,,,,
2018-06-18,68150.0,62150.0,60300.0,83450.0,54650.0,48400.0,70650.0,74900.0,71450.0,62500.0
2018-06-19,68150.0,62150.0,60300.0,83450.0,54650.0,48400.0,70650.0,74900.0,71450.0,62500.0
2018-06-20,68150.0,86100.0,60300.0,82700.0,56350.0,47600.0,70650.0,53650.0,71450.0,62500.0
2018-06-21,68150.0,86100.0,60300.0,82700.0,56350.0,47600.0,70650.0,53650.0,71450.0,62500.0
2018-06-22,68150.0,86100.0,60300.0,82700.0,56350.0,47600.0,70650.0,53650.0,71450.0,62500.0
2018-06-23,,,,,,,,,,
2018-06-24,,,,,,,,,,
2018-06-25,68150.0,86100.0,60300.0,82700.0,56350.0,47600.0,70650.0,53650.0,71450.0,62500.0
2018-06-26,68150.0,86100.0,60300.0,82700.0,56350.0,47600.0,70650.0,53650.0,71450.0,62500.0
